# Column Descriptions:
# gp: Games Played.
# pts: (场均得分) points (per game).
# reb: (篮板) Rebounds. The number of times a team or player recovers the ball after a missed shot attempt.
# ast: (助攻) how many of this person's teammates made goals were a result of that player's assists.
# net_rating: (每百回合净胜分) the team's point differential per 100 possessions while he is on court.
# oreb_pct: (抢下进攻篮板百分比) the percentage of team offensive rebounds grabbed by a player or team.
# dreb_pct: (抢下防守篮板百分比) the percentage of team defensive rebounds grabbed by a player or team.
# usg_pct: (结束控球百分比(被犯规，没投进)) the percentage of his team's possessions that a player ends (via field goal attempts, turnovers and trips to the line) while he's on the floor.
# ts_pct: (真实投篮命中率(罚球被加权)) Pts/(2*(FGA + (.44*FTA)))
# ast_pct: (助攻率) The percentage of a team's assists that a player has while on the court.
Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
5821,Sasha Vujacic,LAL,26,200.66,92.98636,None,Slovenia,2004,1,27,67,2.8,1.2,0.6,-2.8,0.045,0.11,0.148,0.518,0.113,2009-10
5826,Pau Gasol,LAL,29,213.36,113.398,None,Spain,2001,1,3,65,18.3,11.3,3.4,6.2,0.116,0.228,0.213,0.593,0.147,2009-10
5907,Shannon Brown,LAL,24,193.04,95.25432,Michigan State,USA,2006,1,25,82,8.1,2.2,1.3,1.0,0.02,0.1,0.189,0.517,0.105,2009-10
5912,Andrew Bynum,LAL,22,213.36,129.27372,None,USA,2005,1,10,65,15.0,8.3,1.0,6.0,0.103,0.203,0.208,0.608,0.055,2009-10
5935,Adam Morrison,LAL,25,203.2,92.98636,Gonzaga,USA,2006,1,3,31,2.4,1.0,0.6,-9.1,0.044,0.101,0.183,0.418,0.121,2009-10
6046,DJ Mbenga,LAL,29,213.36,115.66596,None,Democratic Republic of the Congo,Undrafted,Undrafted,Undrafted,49,2.1,1.8,0.2,-2.4,0.093,0.166,0.166,0.471,0.037,2009-10
6049,Derek Fisher,LAL,35,185.42,95.25432,Arkansas-Little Rock,USA,1996,1,24,82,7.5,2.1,2.5,7.5,0.013,0.072,0.139,0.499,0.125,2009-10
6089,Luke Walton,LAL,30,203.2,106.59412,Arizona,USA,2003,2,32,29,2.4,1.3,1.4,-8.5,0.046,0.109,0.161,0.402,0.223,2009-10
6101,Lamar Odom,LAL,30,208.28,104.32616,Rhode Island,USA,1999,1,4,82,10.8,9.8,3.3,6.1,0.08,0.263,0.17,0.533,0.159,2009-10
6127,Metta World Peace,LAL,30,200.66,117.93392,St. John's (NY),USA,1999,1,16,77,11.0,4.3,3.0,6.8,0.043,0.098,0.163,0.514,0.132,2009-10
6144,Kobe Bryant,LAL,31,198.12,92.98636,None,USA,1996,1,13,73,27.0,5.4,5.0,8.5,0.032,0.122,0.323,0.545,0.23,2009-10
6194,Josh Powell,LAL,27,205.74,108.86208,North Carolina State,USA,Undrafted,Undrafted,Undrafted,63,2.7,1.8,0.6,-5.6,0.08,0.147,0.186,0.407,0.097,2009-10
6200,Jordan Farmar,LAL,23,187.96,81.64656,UCLA,USA,2006,1,26,82,7.2,1.6,1.5,2.4,0.011,0.088,0.192,0.535,0.139,2009-10
