Player	Team	Games	Position	TurnoverPct	ReboundPct	AssistPct	FieldGoalPct
Alex Abrines	OKC	68.0	ShootingGuard	8.3	4.5	5.5	39.300000000000004
Quincy Acy	TOT	38.0	PowerForward	9.7	11.0	4.9	41.199999999999996
Quincy Acy	DAL	6.0	PowerForward	9.8	9.7	0.0	29.4
Quincy Acy	BRK	32.0	PowerForward	9.6	11.1	5.4	42.5
Steven Adams	OKC	80.0	Center	16.0	14.2	5.4	57.099999999999994
Arron Afflalo	SAC	61.0	ShootingGuard	8.4	4.6	7.4	44.0
Alexis Ajinca	NOP	39.0	Center	13.7	16.0	3.1	50.0
Cole Aldrich	MIN	62.0	Center	15.1	17.4	6.4	52.300000000000004
LaMarcus Aldridge	SAS	72.0	PowerForward	7.7	12.7	9.9	47.699999999999996
Lavoy Allen	IND	61.0	PowerForward	13.7	14.2	9.1	45.800000000000004
Tony Allen	MEM	71.0	ShootingGuard	13.3	11.7	8.4	46.1
Al-Farouq Aminu	POR	61.0	SmallForward	15.2	14.1	7.9	39.300000000000004
Chris Andersen	CLE	12.0	Center	15.1	15.0	5.9	40.9
Alan Anderson	LAC	30.0	SmallForward	7.4	4.4	4.9	37.5
Justin Anderson	TOT	75.0	SmallForward	11.7	11.3	8.8	42.4
Justin Anderson	DAL	51.0	SmallForward	11.2	12.2	7.6	40.1
Justin Anderson	PHI	24.0	SmallForward	12.6	10.2	10.4	46.300000000000004
Kyle Anderson	SAS	72.0	ShootingGuard	14.3	11.5	12.4	44.5
Ryan Anderson	HOU	72.0	PowerForward	6.2	8.5	4.7	41.8
Giannis Antetokounmpo	MIL	80.0	SmallForward	13.3	14.3	26.6	52.1
Carmelo Anthony	NYK	74.0	SmallForward	9.0	9.3	14.5	43.3
Joel Anthony	SAS	19.0	Center	17.0	14.4	3.4	62.5
Trevor Ariza	HOU	80.0	SmallForward	8.0	9.0	8.8	40.9
Darrell Arthur	DEN	41.0	PowerForward	13.8	9.7	9.3	44.2
Omer Asik	NOP	31.0	Center	14.6	17.8	4.2	47.699999999999996
D.J. Augustin	ORL	78.0	PointGuard	13.3	4.1	20.4	37.7
Luke Babbitt	MIA	68.0	SmallForward	8.0	7.4	4.8	40.2
Ron Baker	NYK	52.0	ShootingGuard	19.2	6.2	17.3	37.8
Wade Baldwin	MEM	33.0	PointGuard	23.4	6.5	22.8	31.3
Leandro Barbosa	PHO	67.0	ShootingGuard	10.4	5.9	13.0	43.9
J.J. Barea	DAL	35.0	PointGuard	14.7	6.3	44.2	41.4
Harrison Barnes	DAL	79.0	PowerForward	6.8	8.2	7.8	46.800000000000004
Matt Barnes	TOT	74.0	SmallForward	17.3	12.4	15.6	39.1
Matt Barnes	SAC	54.0	SmallForward	16.8	12.5	16.2	38.4
Matt Barnes	GSW	20.0	SmallForward	19.3	12.2	13.7	42.199999999999996
Will Barton	DEN	60.0	ShootingGuard	11.5	8.4	17.7	44.3
Brandon Bass	LAC	52.0	PowerForward	11.4	12.5	5.7	57.49999999999999
Nicolas Batum	CHO	77.0	ShootingGuard	15.0	10.1	27.6	40.300000000000004
Jerryd Bayless	PHI	3.0	PointGuard	19.8	9.3	29.4	34.4
Aron Baynes	DET	75.0	Center	13.5	15.6	3.9	51.300000000000004
Kent Bazemore	ATL	73.0	SmallForward	13.6	6.5	14.2	40.9
Bradley Beal	WAS	77.0	ShootingGuard	9.6	5.0	16.2	48.199999999999996
Malik Beasley	DEN	22.0	ShootingGuard	9.4	5.7	10.2	45.2
Michael Beasley	MIL	56.0	PowerForward	12.7	12.0	9.9	53.2
Marco Belinelli	CHO	74.0	ShootingGuard	9.2	5.5	13.1	42.9
DeAndre' Bembry	ATL	38.0	SmallForward	13.2	8.7	11.5	48.0
Dragan Bender	PHO	43.0	PowerForward	16.2	9.7	5.5	35.4
Anthony Bennett	BRK	23.0	PowerForward	10.0	15.6	7.1	41.3
Ben Bentil	DAL	3.0	PowerForward	25.0	11.6	0.0	0.0
Davis Bertans	SAS	67.0	PowerForward	11.4	6.9	8.3	44.0
Patrick Beverley	HOU	67.0	ShootingGuard	14.6	10.4	18.8	42.0
Bismack Biyombo	ORL	81.0	Center	17.7	17.2	6.0	52.800000000000004
Nemanja Bjelica	MIN	65.0	PowerForward	13.4	12.0	9.6	42.4
Tarik Black	LAL	67.0	Center	14.5	17.1	5.3	51.0
Eric Bledsoe	PHO	66.0	PointGuard	15.3	8.0	31.1	43.4
